127.0.0.1 - - [28/Aug/2018:11:23:50 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/TedMain.jsp HTTP/1.1" 200 10126
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/css/TedMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/css/modal_pop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/tedLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/technology.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/health&medical.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/environment.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/society.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/economic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/education.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/politics.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/self_development.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:53 +0900] "GET /webproject/image/art.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:23:57 +0900] "GET /webproject/MainController?command=realtime HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [28/Aug/2018:11:24:32 +0900] "GET /webproject/video/ted.mp4 HTTP/1.1" 304 -
