topic,languages,main_speaker,duration,film_date,published_date,comments,views
Education,60,Ken Robinson,1164,2006,2006,4553,47227110
Environment,43,Al Gore,977,2006,2006,265,3200520
Technology&Science ,26,David Pogue,1286,2006,2006,124,1636292
Environment,35,Majora Carter,1116,2006,2006,200,1697550
Health&Medical,48,Hans Rosling,1190,2006,2006,593,12005869
Self-development,36,Tony Robbins,1305,2006,2006,672,20685401
Art,31,Julia Sweeney,992,2006,2006,919,3769987
Art,19,Joshua Prince-Ramus,1198,2006,2006,46,967741
Education,32,Dan Dennett,1485,2006,2006,852,2567958
Self-development,31,Rick Warren,1262,2006,2006,900,3095993
Society,27,Cameron Sinclair,1414,2006,2006,79,1211416
Art,20,Jehane Noujaim,1538,2006,2006,55,387877
Health&Medical,24,Larry Brilliant,1550,2006,2006,71,693341
Technology&Science ,27,Jeff Han,527,2006,2006,242,4531020
Society,25,Nicholas Negroponte,1057,2006,2006,99,358304
Art,31,Sirena Huang,1481,2006,2006,325,2702470
Art,32,Jennifer Lin,1445,2004,2006,305,1628912
Technology&Science ,27,Amy Smith,906,2006,2006,88,1415724
Art,22,Ross Lovegrove,1170,2005,2006,163,1074081
Technology&Science ,32,Jimmy Wales,1201,2005,2006,84,1106561
Technology&Science ,27,Richard Baraniuk,1114,2006,2006,108,966439
Technology&Science ,26,Ze Frank,1136,2004,2006,185,6141440
Society,20,Mena Trott,1006,2006,2006,50,518624
Technology&Science ,33,Helen Fisher,1407,2006,2006,556,9260764
Society,23,Eve Ensler,1225,2004,2006,117,1131864
Environment,29,David Deutsch,1140,2005,2006,184,1096862
Technology&Science ,36,Richard Dawkins,1316,2005,2006,507,2885999
Economy,25,Steven Levitt,1275,2004,2006,95,2863214
Economy,37,Malcolm Gladwell,1050,2004,2006,355,7023562
Technology&Science ,43,Dan Gilbert,1276,2004,2006,970,14689301
Economy,45,Barry Schwartz,1177,2005,2006,991,10000702
Health&Medical,26,Eva Vertes,1129,2005,2006,213,1030267
Health&Medical,29,Aubrey de Grey,1365,2005,2006,612,3277740
Society,21,Iqbal Quadir,952,2005,2006,74,503517
Society,26,Jacqueline Novogratz,773,2005,2006,58,705389
Politics,21,Sasa Vucinic,1080,2005,2006,43,580891
Politics,24,Ashraf Ghani,1125,2005,2006,67,809226
Technology&Science ,28,Burt Rutan,1177,2006,2006,186,2028451
Environment,26,Ben Saunders,1083,2005,2006,57,745231
Society,24,Bono,1672,2005,2006,112,718649
Environment,22,Edward Burtynsky,2065,2005,2006,58,975107
Health&Medical,20,Robert Fischell,1609,2005,2006,33,382996
Technology&Science ,20,Peter Donnelly,1280,2005,2006,105,1053758
Technology&Science ,41,Michael Shermer,805,2006,2006,494,5364639
Technology&Science ,22,Ray Kurzweil,1376,2005,2006,233,2434344
Technology&Science ,26,Kevin Kelly,1200,2005,2006,149,1536873
Society,24,Peter Gabriel,848,2006,2006,52,904215
Self-development,66,Richard St. John,210,2005,2006,578,10841210
Art,34,Rives,247,2006,2006,95,1813665
Health&Medical,48,Dean Ornish,198,2006,2006,199,2299265
Society,22,Robert Neuwirth,843,2005,2007,85,673036
Society,32,Bjorn Lomborg,1001,2005,2007,499,1391142
Society,36,Wade Davis,1321,2003,2007,371,2532851
Society,29,Phil Borges,1115,2006,2007,59,882034
Technology&Science ,29,Martin Rees,1046,2005,2007,203,2121177
Society,23,Robert Wright,1151,2006,2007,130,1090180
Society,29,Steven Johnson,603,2006,2007,47,684519
Society,24,Charles Leadbeater,1141,2005,2007,91,1409327
Art,19,Anna Deavere Smith,1385,2005,2007,111,978825
Technology&Science ,18,Saul Griffith,869,2006,2007,28,442553
Technology&Science ,17,Neil Gershenfeld,1038,2006,2007,64,691814
Self-development,30,Carl Honoré,1155,2005,2007,226,2441805
Society,26,Bill Clinton,1447,2007,2007,97,849859
Technology&Science ,26,E.O. Wilson,1355,2007,2007,89,1335732
Society,23,James Nachtwey,1316,2007,2007,107,1262674
Technology&Science ,31,Jane Goodall,1645,2002,2007,161,1663001
Self-development,31,Seth Godin,1021,2003,2007,220,5570544
