date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:27	199/199	---M-Z	200	added ('OK')	text/plain	etag:W/%2259b81ff8-12b%22	http://jasoseol.com/robots.txt		(from )
11:20:28	63733/63733	---MCZ	200	added ('OK')	text/html	etag:W/%22d68f2b4ce4caafd07105758eebd14995%22	http://jasoseol.com/	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/index.html	(from )
11:20:30	358380/358380	---MCZ	200	added ('OK')	text/css	etag:W/%225b5fd498-577ec%22	http://jasoseol.com/assets/application_web_index-b06f2a93032de603380f1ce3fb9fe65728eed281b2ccfab6d4ad1b72b1081a18.css	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/application_web_index-b06f2a93032de603380f1ce3fb9fe65728eed281b2ccfab6d4ad1b72b1081a18.css	(from http://jasoseol.com/)
11:20:30	2853/2853	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff8-b25%22	http://jasoseol.com/apple-icon/touch-icon-iphone.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/apple-icon/touch-icon-iphone.png	(from http://jasoseol.com/)
11:20:30	3541/3541	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff8-dd5%22	http://jasoseol.com/apple-icon/touch-icon-ipad.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/apple-icon/touch-icon-ipad.png	(from http://jasoseol.com/)
11:20:31	5527/5527	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff8-1597%22	http://jasoseol.com/apple-icon/touch-icon-iphone-retina.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/apple-icon/touch-icon-iphone-retina.png	(from http://jasoseol.com/)
11:20:31	43552/43552	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2015%20Aug%202018%2002:20:31%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/ITStudy/2.bigData/tedWeb/tedWeb/connect.facebook.net/en_US/fbevents.js	(from http://jasoseol.com/)
11:20:32	6942/6942	---M-Z	200	added ('OK')	image/png	etag:W/%2259b81ff8-1b1e%22	http://jasoseol.com/apple-icon/touch-icon-ipad-retina.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/apple-icon/touch-icon-ipad-retina.png	(from http://jasoseol.com/)
11:20:34	68557/68557	---MCZ	200	added ('OK')	text/html	etag:W/%22544064042f7d1e68e30c7a267a77f558%22	http://jasoseol.com/recruit	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/recruit.html	(from http://jasoseol.com/)
11:20:37	68557/68557	---MCZ	200	added ('OK')	text/html	etag:W/%220274188d291fe0947ca8d5b56aebf8b7%22	http://jasoseol.com/resume_list	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/resume_list.html	(from http://jasoseol.com/)
11:20:37	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/ITStudy/2.bigData/tedWeb/tedWeb/www.google-analytics.com/analytics.js	(from http://jasoseol.com/)
11:20:38	33119/33119	---MCZ	200	added ('OK')	image/png	etag:W/%2259b81ff7-815f%22	http://jasoseol.com/assets/main/logo-09e69cf256e09481f42047f3f655395c3cfb1669f81be7172f104e86e7b49a7c.png	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/assets/main/logo-09e69cf256e09481f42047f3f655395c3cfb1669f81be7172f104e86e7b49a7c.png	(from http://jasoseol.com/)
11:20:38	68557/68557	---MCZ	200	added ('OK')	text/html	etag:W/%226b21ac91319fe505ebe63797e390cd94%22	http://jasoseol.com/spec	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/spec.html	(from http://jasoseol.com/)
11:20:40	68557/68557	---MCZ	200	added ('OK')	text/html	etag:W/%22d2d0d0558d307bdeb6c51e7c284fc7dc%22	http://jasoseol.com/example	C:/ITStudy/2.bigData/tedWeb/tedWeb/jasoseol.com/example.html	(from http://jasoseol.com/)
